name,theme,overall,C,PF,SF,SG,PG,position,height,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,overall_durability,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,pick_and_roll_defense_iq,lateral_quickness,pass_perception,reaction_time,steal,block,shot_contest,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential
Jamal Crawford,Buzzer Beater,99,0,0,0,1,0,SG,77,97,97,95,95,92,98,98,30,85,95,55,30,62,98,96,96,97,74,98,98,85,96,99,96,92,98,68,90,85,80,96,92,78,92,60,78,85,45,65,25,99
Chris Webber,Buzzer Beater,98,1,0,0,0,0,C,82,98,95,91,98,90,95,92,95,90,92,94,92,92,98,86,86,93,94,98,97,85,81,86,85,86,95,93,82,93,82,82,88,94,83,90,92,90,96,96,25,98
Dale Ellis,Buzzer Beater,98,0,0,0,1,0,SG,79,90,96,98,30,95,98,94,70,80,92,79,74,85,98,93,93,95,80,98,97,80,93,86,88,60,84,80,90,92,80,94,92,88,88,77,88,90,80,85,25,98
Yi Jianlian,Buzzer Beater,98,0,1,0,0,0,PF,84,89,92,94,76,90,95,89,85,85,85,89,84,92,87,90,90,85,85,95,80,85,84,86,80,37,84,85,85,85,61,87,84,75,78,87,80,85,89,92,25,98
Desmond Mason,Buzzer Beater,98,0,0,0,1,0,SG,77,97,94,89,98,88,95,94,70,98,92,56,36,64,98,94,94,99,78,98,95,95,94,92,92,80,92,56,92,86,80,93,85,82,90,45,84,90,45,50,25,98
Sam Cassell,Buzzer Beater,98,0,0,0,0,1,PG,75,95,97,91,90,90,98,96,25,75,92,58,30,58,95,94,94,86,74,98,72,95,94,95,95,95,96,74,90,90,71,94,90,73,90,70,73,90,69,69,25,98
Pete Maravich,Buzzer Beater,98,0,0,0,0,1,PG,77,91,95,95,98,87,98,98,25,65,90,51,40,74,85,95,95,89,69,98,84,96,95,98,95,95,95,58,90,95,88,95,95,72,89,28,72,95,38,48,25,98
Brandon Roy,Buzzer Beater,97,0,0,0,1,0,SG,78,95,94,92,98,88,98,96,75,95,85,75,61,84,98,92,92,95,68,98,80,80,90,88,80,78,80,70,89,85,80,92,85,80,85,70,81,85,45,65,60,97
De'Aaron Fox,Buzzer Beater,97,0,0,0,0,1,PG,75,97,94,89,80,90,95,97,25,90,92,27,25,30,95,99,99,90,66,98,90,80,99,95,92,84,92,54,95,95,77,97,96,64,95,56,64,95,37,57,25,97
Drazen Petrovic,Buzzer Beater,97,0,0,0,1,0,SG,77,90,97,99,98,98,98,95,45,75,89,25,25,51,90,89,89,84,75,98,92,95,88,86,89,84,88,62,90,90,86,91,88,64,65,27,64,90,51,54,25,97
Paul Pierce,Buzzer Beater,95,0,1,0,0,0,PF,79,95,92,94,90,92,98,94,65,85,88,88,75,92,94,90,90,85,90,98,95,92,88,86,82,70,84,80,90,92,88,93,85,84,84,50,84,90,70,73,25,95
Toni Kukoc,Buzzer Beater,95,0,0,1,0,0,SF,82,92,94,92,97,85,95,85,75,75,88,84,72,84,95,80,80,65,60,95,95,82,80,86,89,88,92,80,80,80,69,80,80,74,84,75,74,80,75,84,25,95
Nerlens Noel,Buzzer Beater,95,1,0,0,0,0,C,83,95,84,75,25,88,85,88,90,85,70,80,80,77,90,86,84,88,83,95,94,65,80,80,68,37,78,90,82,88,79,88,85,85,86,93,85,85,93,93,25,95
Brent Barry,Buzzer Beater,95,0,0,1,0,0,SF,79,90,96,97,65,87,95,92,80,97,85,54,50,50,95,88,88,98,58,98,90,75,87,86,90,37,88,80,92,88,71,92,88,70,78,78,70,90,48,52,25,95
Stephon Marbury,Buzzer Beater,95,0,0,0,0,1,PG,75,94,90,88,95,89,95,95,25,85,88,55,55,55,77,95,95,92,64,88,92,90,95,96,86,75,89,50,90,84,74,94,84,79,90,38,79,85,34,44,50,95
Klay Thompson,Buzzer Beater,95,0,0,0,1,0,SG,79,80,96,98,80,87,95,85,35,65,79,60,35,78,90,82,82,84,59,95,65,95,78,76,77,38,70,64,96,95,90,95,92,92,89,52,91,95,46,50,85,95
Dennis Scott,Buzzer Beater,95,0,0,1,0,0,SF,80,88,94,97,30,85,95,84,50,80,80,44,30,63,90,88,87,80,82,95,70,88,84,86,80,49,80,80,94,92,74,94,92,65,92,80,65,90,50,68,25,95
Magic Johnson,Campus Legends,99,0,0,0,0,1,PG,81,99,96,92,98,94,98,99,80,90,97,97,98,94,98,96,96,92,91,98,97,99,96,98,99,99,99,85,96,98,95,96,98,97,90,80,98,98,89,92,35,99
Carmelo Anthony,Campus Legends,99,0,0,1,0,0,SF,80,98,98,98,95,94,98,97,80,95,97,97,92,98,98,97,97,95,94,98,98,80,96,97,92,80,92,90,92,92,74,96,91,78,91,47,74,90,50,84,25,99
Ralph Sampson,Campus Legends,98,1,0,0,0,0,C,88,97,89,78,90,88,95,60,95,75,95,89,95,96,95,75,75,85,90,97,85,99,59,44,54,37,55,97,86,93,84,68,85,95,84,98,95,98,96,96,25,98
Greg Oden,Campus Legends,98,1,0,0,0,0,C,84,98,93,79,95,85,98,90,95,90,96,98,96,96,80,84,84,90,97,98,72,50,72,69,30,27,28,95,80,94,86,85,85,89,80,98,88,95,94,95,25,98
Jimmer Fredette,Campus Legends,98,0,0,0,0,1,PG,74,94,97,99,90,99,95,94,25,70,96,25,25,33,95,95,95,85,69,98,89,80,95,93,94,84,94,25,88,88,49,95,88,50,90,26,50,85,28,36,35,98
Christian Laettner,Campus Legends,97,1,0,0,0,0,C,83,92,95,96,60,90,98,90,85,80,90,98,98,98,95,77,77,85,95,95,95,90,74,69,80,42,80,89,80,90,78,78,88,80,74,86,82,90,93,93,25,97
Danny Manning,Campus Legends,95,0,1,0,0,0,PF,82,97,94,89,50,84,90,89,95,90,80,90,95,95,80,88,88,90,85,98,95,90,82,86,78,45,82,88,80,89,78,88,88,73,84,82,73,80,65,72,25,95
Jay Williams,Campus Legends,95,0,0,0,0,1,PG,74,92,95,94,50,90,95,97,25,95,90,55,25,58,80,98,98,95,70,98,85,95,98,92,90,82,92,48,88,83,90,95,92,72,93,43,82,80,32,48,25,95
Eric Paschall,Campus Legends,92,0,1,0,0,0,PF,79,92,95,88,95,81,85,88,85,85,85,78,84,84,95,85,85,95,84,95,95,80,82,86,79,44,79,85,85,80,81,85,78,68,80,80,68,80,82,84,25,92
Jahlil Okafor,Campus Legends,92,1,0,0,0,0,C,82,97,84,69,84,76,85,84,90,75,85,94,94,92,95,70,70,80,97,95,95,85,62,42,60,48,68,84,64,84,44,68,80,75,68,85,76,80,90,90,25,92
Jarrett Culver,Campus Legends,89,0,0,1,0,0,SF,78,95,97,84,65,80,95,90,55,80,82,57,40,55,85,90,90,92,65,95,85,80,87,86,80,42,84,52,80,80,78,88,78,82,74,62,80,80,48,50,25,89
Donte DiVincenzo,Campus Legends,89,0,0,0,0,1,PG,76,80,90,91,90,84,90,84,25,80,80,38,28,45,78,91,91,95,35,91,85,80,90,86,84,49,82,54,95,95,68,96,96,72,95,50,71,95,47,63,25,89
Elvin Hayes,Career Highlights,99,0,1,0,0,0,PF,81,98,81,75,98,88,98,97,95,95,95,95,93,96,95,91,91,95,95,97,95,99,83,86,82,52,80,97,92,96,76,90,95,88,90,97,88,98,98,98,25,99
Devin Booker,Career Highlights,99,0,0,0,1,0,SG,78,94,97,98,98,95,98,95,40,85,92,70,54,69,98,93,93,94,74,98,98,81,93,90,92,85,94,68,84,80,68,84,80,58,84,65,58,80,74,84,25,99
Magic Johnson,Career Highlights,96,0,0,0,0,1,PG,81,94,88,78,98,90,98,94,65,80,88,91,96,75,98,88,88,70,86,97,97,99,88,94,98,96,98,80,90,94,95,83,98,97,75,74,98,95,86,88,50,98
Rick Fox,Career Highlights,96,0,0,1,0,0,SF,79,85,84,93,60,85,95,84,55,80,64,59,56,55,95,88,88,85,85,95,95,80,85,86,85,65,85,79,93,95,81,93,93,93,90,75,93,95,75,74,30,96
Terry Rozier III,Career Highlights,96,0,0,0,0,1,PG,73,90,92,93,97,90,95,90,40,95,90,48,45,53,95,94,94,90,62,95,85,76,94,90,92,84,92,65,90,84,72,92,80,68,89,50,68,85,68,74,50,96
Kobe Bryant,Career Highlights,96,0,0,0,1,0,SG,78,90,90,88,98,85,98,84,25,50,95,80,78,85,95,78,78,75,70,95,85,95,78,86,85,65,85,62,78,74,64,81,75,60,80,51,60,70,75,78,95,98
Earl Boykins,Career Highlights,96,0,0,0,0,1,PG,65,88,94,96,98,92,95,90,25,25,97,25,25,35,98,98,98,98,40,98,98,88,98,90,96,80,87,32,88,85,81,96,88,92,95,90,95,80,30,34,25,96
Tracy McGrady,Career Highlights,95,0,0,0,1,0,SG,80,88,91,92,98,85,98,91,65,90,86,70,61,84,98,92,92,95,63,98,80,80,89,91,75,67,72,66,89,85,81,89,88,80,85,65,80,85,65,62,50,95
Andrew Bogut,Career Highlights,95,1,0,0,0,0,C,84,95,78,64,60,79,95,78,95,80,91,89,94,69,95,75,70,79,97,95,95,66,54,68,70,70,79,97,80,94,83,79,80,82,79,97,89,90,90,93,25,95
Alonzo Mourning,Career Highlights,95,1,0,0,0,0,C,82,97,88,80,25,78,90,80,98,70,86,96,96,94,92,80,80,80,96,95,95,75,70,50,33,29,64,97,80,95,98,80,90,92,74,97,96,95,92,96,25,95
Chris Paul,Career Highlights,94,0,0,0,0,1,PG,72,92,93,90,90,89,85,94,25,25,85,68,33,48,83,93,93,78,55,97,68,74,93,95,95,95,95,54,91,75,92,94,88,78,95,38,89,90,28,54,60,94
Michael Jordan,Career Highlights,93,0,0,0,1,0,SG,78,95,90,74,98,90,95,93,70,95,89,80,38,88,96,95,93,97,52,98,90,99,88,86,70,68,72,59,93,90,97,96,88,95,90,65,95,90,50,80,50,99
Russell Westbrook,Career Highlights,93,0,0,0,0,1,PG,75,90,86,75,98,84,98,96,30,90,90,73,45,76,98,96,96,92,75,98,98,95,96,91,78,93,95,42,83,86,85,87,85,94,76,51,86,85,45,90,60,93
Ron Harper,Career Highlights,92,0,0,0,0,1,PG,78,88,80,80,77,82,85,88,40,75,80,51,36,55,98,90,90,85,79,95,90,84,89,86,85,65,82,78,94,95,88,93,92,87,93,52,87,95,47,46,25,92
Kevin Durant,Career Highlights,92,0,0,1,0,0,SF,81,90,91,88,80,88,98,88,60,75,70,74,70,84,85,83,83,77,57,96,69,84,80,86,69,67,65,62,86,79,86,86,75,76,61,77,75,80,26,53,45,95
Bol Bol,Fan Favorites,99,1,0,0,0,0,C,86,96,94,91,95,90,95,89,95,85,90,88,92,92,95,80,80,85,80,95,95,80,79,83,70,59,85,95,80,95,72,83,92,75,78,97,88,95,95,95,25,99
Alex Caruso,Fan Favorites,99,0,0,0,0,1,PG,77,97,92,94,97,90,98,96,35,95,92,69,60,64,98,96,96,95,74,98,98,75,96,94,96,89,92,31,98,97,69,97,98,65,98,78,67,98,78,78,25,99
Tacko Fall,Fan Favorites,99,1,0,0,0,0,C,89,98,84,78,98,70,95,84,98,90,92,94,96,88,98,70,69,60,97,98,98,80,40,40,66,54,84,97,78,98,72,78,88,85,84,99,95,95,98,98,25,99
Brian Scalabrine,Fan Favorites,98,0,1,0,0,0,PF,81,97,96,98,50,94,98,85,80,80,90,90,88,90,85,85,84,90,94,98,95,93,80,86,80,50,80,90,90,90,53,90,90,64,85,85,64,90,95,94,25,98
Manute Bol,Fan Favorites,97,1,0,0,0,0,C,91,96,80,83,98,85,90,80,95,80,90,88,94,80,98,50,50,50,80,98,90,65,34,48,45,32,48,95,55,98,78,60,95,69,80,99,97,98,98,98,30,97
Boban Marjanovic,Fan Favorites,95,1,0,0,0,0,C,87,96,88,87,90,85,95,69,95,80,85,81,88,74,90,60,60,70,95,98,40,65,40,50,65,44,69,95,60,95,52,69,90,70,33,97,70,95,96,96,25,95
Isaac Bonga,Fan Favorites,92,0,0,0,0,1,PG,80,96,86,89,50,88,95,92,55,85,90,44,53,62,95,92,92,90,75,95,97,80,92,86,84,80,84,80,90,85,62,92,92,52,89,70,53,90,78,82,25,92
J.R. Smith,Fan Favorites 2,99,0,0,0,1,0,SG,78,96,97,99,92,95,98,97,80,98,95,74,69,80,98,97,97,99,82,98,95,76,97,98,94,92,92,86,96,98,75,96,95,74,96,81,74,98,81,82,25,99
Jeremy Lin,Fan Favorites 2,99,0,0,0,0,1,PG,75,98,96,96,98,92,98,98,45,95,95,70,68,84,98,98,98,90,80,98,95,77,98,97,98,95,95,80,96,95,82,96,95,71,95,80,71,95,80,80,25,99
Michael Porter Jr.,Fan Favorites 2,99,0,0,1,0,0,SF,82,95,95,96,95,90,95,94,85,95,92,84,80,92,95,95,95,95,87,98,80,50,92,89,88,74,88,88,92,93,60,93,95,60,84,80,72,90,81,85,25,99
Jeff Green,Fan Favorites 2,98,0,1,0,0,0,PF,81,97,90,90,50,87,90,96,80,95,92,88,84,94,95,95,95,90,90,98,98,75,88,88,85,59,84,92,94,85,72,95,85,80,90,84,80,90,85,85,25,98
Gerald Green,Fan Favorites 2,98,0,0,1,0,0,SF,79,92,89,93,88,90,95,94,90,98,90,71,64,78,95,94,94,98,80,98,95,84,91,86,88,74,84,70,88,89,62,92,88,64,84,79,64,85,78,81,25,98
Joe Smith,Fan Favorites 2,95,0,1,0,0,0,PF,82,95,94,90,25,86,95,88,85,80,84,88,88,88,90,90,90,85,87,95,80,85,87,86,80,47,50,86,93,88,74,93,84,83,88,85,83,85,84,85,25,95
Dean Wade,Fan Favorites 2,92,0,1,0,0,0,PF,81,93,88,94,40,88,95,89,90,95,88,74,75,75,95,89,89,96,80,98,95,80,86,86,70,54,78,85,88,85,71,90,84,67,84,88,72,85,87,88,25,92
Chris Bosh,Flash,97,1,0,0,0,0,C,83,97,95,94,98,90,98,84,85,90,89,94,95,95,95,75,75,85,87,98,95,97,60,69,65,45,72,94,65,92,75,69,84,73,68,85,77,95,95,96,60,97
Michael Jordan,Flash,95,0,0,0,1,0,SG,78,97,94,79,98,95,95,96,70,95,89,92,38,92,96,95,95,97,52,98,95,99,90,86,70,68,72,59,96,96,97,96,95,95,95,65,95,95,50,49,50,99
Lamar Odom,Flash,95,0,0,1,0,0,SF,82,90,88,88,80,89,98,94,80,90,90,78,40,74,95,81,81,88,80,97,95,85,80,86,78,79,84,84,86,85,94,86,84,94,85,84,92,85,92,94,40,95
Zion Williamson,Flash,89,0,1,0,0,0,PF,78,92,74,80,50,64,90,92,98,99,70,70,64,59,85,86,86,99,83,90,95,80,81,73,65,65,69,80,64,76,71,82,70,80,70,87,80,60,80,82,40,96
Larry Bird,Flash 2,97,0,1,0,0,0,PF,81,95,97,97,90,92,98,94,40,75,85,88,60,95,80,85,85,85,75,97,98,95,85,86,80,80,82,84,93,92,84,95,92,80,92,78,80,95,84,85,30,98
Josh Smith,Flash 2,95,0,1,0,0,0,PF,81,95,83,84,59,85,95,95,89,97,94,84,74,82,85,91,87,95,85,98,95,84,78,86,74,69,78,82,90,92,95,89,92,92,95,95,95,90,84,88,40,95
Danny Granger,Flash 2,95,0,0,1,0,0,SF,81,95,96,94,90,88,95,92,40,80,90,72,60,72,94,91,90,90,65,95,86,85,86,86,80,62,81,56,89,73,78,88,85,72,80,60,74,85,45,70,50,95
Jermaine O'Neal,Flash 2,92,0,1,0,0,0,PF,83,95,90,68,98,86,95,82,90,75,89,90,94,94,96,65,50,80,85,95,95,78,40,58,52,43,69,85,34,84,80,34,76,73,57,85,73,80,90,88,60,92
Jimmer Fredette,Flash 2,89,0,0,0,0,1,PG,74,90,92,95,90,93,95,84,25,25,80,25,25,33,64,85,85,85,57,95,89,80,85,86,88,84,89,25,75,75,49,75,74,50,70,26,50,75,28,36,80,89
Andrei Kirilenko,Flash 4,99,0,0,1,0,0,SF,81,96,96,94,98,92,90,94,80,85,92,82,80,90,98,90,90,92,87,98,98,59,90,89,95,89,95,90,98,98,92,99,98,88,99,98,92,98,92,93,25,99
John Wall,Flash 4,98,0,0,0,0,1,PG,76,97,95,93,50,88,95,98,40,98,85,68,35,78,95,99,99,95,70,98,90,84,99,93,89,95,96,38,93,93,86,97,97,76,95,62,86,95,32,50,25,98
Micheal Ray Richardson,Flash 4,95,0,0,0,0,1,PG,77,95,89,83,50,85,70,95,35,85,85,52,42,80,98,96,96,96,85,98,90,70,96,90,88,80,88,70,98,98,92,98,99,95,99,78,95,98,66,59,25,95
Zydrunas Ilgauskas,Flash 4,95,1,0,0,0,0,C,87,97,97,91,95,92,95,80,90,70,93,92,95,96,95,67,65,60,95,98,90,80,40,35,55,40,80,89,69,89,74,60,75,80,70,95,80,85,96,96,30,95
Theo Ratliff,Flash 4,92,1,0,0,0,0,C,82,95,84,40,50,84,85,84,95,85,85,80,86,81,80,81,80,95,95,98,85,75,68,64,65,34,65,97,78,97,87,82,92,95,85,98,95,95,88,88,25,92
Lonzo Ball,Flash 5,99,0,0,0,0,1,PG,78,97,89,96,95,90,98,98,60,97,95,40,69,82,98,97,97,97,52,98,98,80,97,96,98,98,98,79,98,98,83,98,98,70,98,70,80,98,79,80,25,99
Michael Redd,Flash 5,98,0,0,0,1,0,SG,78,92,95,98,60,94,98,94,35,85,89,70,35,80,95,95,95,95,80,96,95,95,90,86,84,58,79,80,95,94,82,94,95,84,88,70,84,95,40,60,25,98
Andrew Wiggins,Flash 5,97,0,0,1,0,0,SF,80,95,92,90,50,85,95,95,80,99,92,79,45,84,89,94,94,99,57,98,85,80,93,86,80,42,80,62,97,85,69,97,95,75,97,80,75,95,42,53,25,97
Ray Allen,Flash 5,95,0,0,0,1,0,SG,77,89,89,95,98,90,95,85,25,75,78,60,44,60,94,90,90,75,62,95,82,85,85,86,74,58,82,45,84,82,80,90,80,80,60,37,80,80,42,45,85,95
Mohamed Bamba,Flash 5,92,1,0,0,0,0,C,84,90,89,89,60,85,85,84,90,70,80,69,89,90,80,90,90,75,60,95,90,80,77,69,35,33,51,92,78,83,70,79,95,84,41,98,89,95,90,94,25,92
Yao Ming,Flash 6,99,1,0,0,0,0,C,90,99,98,84,98,95,98,83,98,85,97,98,98,98,98,71,71,74,97,98,95,97,64,60,70,69,88,98,77,98,72,77,97,92,80,98,92,95,98,98,25,99
Pau Gasol,Flash 6,98,0,1,0,0,0,PF,84,96,94,87,50,81,98,82,85,65,90,94,95,94,92,79,79,61,90,95,95,82,68,48,68,71,88,91,78,92,94,75,70,95,62,90,89,95,90,92,25,98
Luol Deng,Flash 6,98,0,0,1,0,0,SF,81,88,88,95,50,88,90,84,70,85,75,70,60,72,85,90,90,85,80,95,90,73,84,86,84,34,72,82,96,94,83,96,95,72,96,78,75,95,65,65,25,98
Nicolas Batum,Flash 6,95,0,0,1,0,0,SF,81,84,84,90,30,90,80,88,55,80,60,65,40,65,70,89,89,75,70,95,65,83,89,86,90,70,70,84,94,92,79,94,84,80,84,80,78,90,72,74,25,95
Ricky Rubio,Flash 6,92,0,0,0,0,1,PG,75,83,82,89,30,83,80,90,25,25,68,26,25,40,86,94,94,80,27,98,70,76,94,96,98,96,90,32,93,90,79,95,95,82,96,37,80,90,37,58,25,92
Klay Thompson,Flash 7,99,0,0,0,1,0,SG,79,95,98,99,95,98,98,95,70,85,92,84,68,84,90,95,95,94,93,98,98,95,92,92,91,88,96,93,98,98,90,99,98,92,98,94,91,98,76,79,25,99
Larry Johnson,Flash 7,98,0,1,0,0,0,PF,79,97,92,93,95,90,95,92,90,90,91,91,84,90,90,94,94,92,92,98,95,90,89,86,83,70,85,90,90,92,72,92,91,80,80,88,80,90,88,91,25,98
Rod Strickland,Flash 7,96,0,0,0,0,1,PG,75,96,90,84,98,90,95,97,35,40,92,33,28,57,98,94,94,89,70,98,98,82,94,95,98,95,97,75,90,90,82,92,92,77,85,40,69,90,72,74,35,96
Ryan Anderson,Flash 7,95,0,1,0,0,0,PF,82,92,97,97,30,92,98,82,85,75,82,88,89,95,90,81,81,88,90,98,85,73,79,83,69,31,80,82,82,82,64,82,82,62,44,60,62,85,88,90,25,95
Zhou Qi,Flash 7,92,1,0,0,0,0,C,85,92,89,88,30,84,85,80,85,85,78,85,84,84,84,83,83,79,81,94,89,80,77,75,68,43,70,84,80,85,66,81,85,75,68,92,88,85,90,90,25,92
Rui Hachimura,Free Agent,98,0,1,0,0,0,PF,80,97,94,86,90,90,95,90,85,95,95,84,84,85,95,84,82,95,86,95,95,80,78,86,79,68,84,84,84,84,70,84,85,68,78,84,68,80,94,94,80,98
Giannis Antetokounmpo,Free Agent,97,0,1,0,0,0,PF,83,95,88,79,98,86,98,98,85,95,97,92,92,88,95,95,95,95,70,98,95,95,94,86,81,84,90,86,92,95,89,96,97,90,95,82,91,95,74,94,25,98
Blake Griffin,Free Agent,97,0,1,0,0,0,PF,82,97,93,92,98,85,98,96,99,99,97,92,94,94,97,90,89,98,95,98,98,90,75,75,76,74,78,90,82,92,84,76,90,86,65,80,90,85,97,97,70,97
Dirk Nowitzki,Free Agent,97,0,1,0,0,0,PF,84,94,96,95,98,90,98,84,65,50,75,97,84,99,95,73,73,75,85,95,90,80,59,57,60,51,74,88,64,84,85,60,85,92,40,84,95,80,88,90,40,97
Shawn Kemp,Free Agent,96,0,1,0,0,0,PF,82,95,90,64,83,85,95,88,97,96,95,96,80,92,95,92,90,98,92,86,95,85,80,59,40,53,40,93,82,88,80,80,91,83,73,87,83,86,95,95,95,96
Michael Jordan,Free Agent,93,0,0,0,1,0,SG,78,95,96,82,98,90,98,97,73,95,97,80,38,94,96,89,89,97,52,98,90,99,88,88,80,68,82,59,96,97,97,96,95,95,94,65,95,95,50,49,85,99
Gilbert Arenas,Free Agent,90,0,0,0,0,1,PG,75,88,87,89,98,86,95,92,35,85,89,74,60,88,98,95,95,95,78,98,96,95,95,92,90,88,92,67,85,84,85,86,85,84,75,50,88,85,54,62,90,96
Brandon Roy,Free Agent,90,0,0,0,1,0,SG,78,93,93,84,98,85,95,93,75,90,80,68,61,84,98,90,90,95,68,98,80,80,88,86,80,78,80,66,81,83,82,83,84,80,75,60,81,80,35,60,98,95
Carmelo Anthony,Free Agent,90,0,0,1,0,0,SF,80,88,92,87,98,84,90,78,55,85,75,85,74,93,80,91,91,80,82,98,82,95,84,90,74,63,72,74,72,73,74,74,72,78,61,47,74,60,39,80,90,90
Stephen Curry,Free Agent,90,0,0,0,0,1,PG,75,95,95,97,97,97,97,96,25,35,97,34,34,51,96,95,95,84,47,85,97,90,95,97,93,93,97,29,80,77,79,91,94,96,94,36,89,79,37,52,49,95
Vince Carter,Free Agent,89,0,0,0,1,0,SG,78,80,81,83,98,84,80,82,65,85,84,70,46,69,80,87,87,95,65,95,85,85,82,84,70,70,70,60,93,75,74,77,75,80,63,55,80,75,62,68,95,95
Tracy McGrady,Free Agent,89,0,0,0,1,0,SG,80,82,83,84,98,80,85,86,60,85,86,70,50,62,98,86,86,90,60,90,80,80,83,82,68,67,72,66,73,75,64,76,78,55,64,65,55,75,65,62,98,97
LeBron James,Free Agent,88,0,0,1,0,0,SF,80,75,81,82,60,75,98,98,70,85,84,80,60,84,80,88,88,88,89,98,80,99,88,86,90,90,98,80,96,93,96,90,97,96,69,66,95,80,43,70,25,99
Kawhi Leonard,Free Agent,87,0,0,1,0,0,SF,79,93,88,82,70,86,95,88,55,86,80,85,50,88,80,87,82,79,75,94,90,79,84,82,79,67,78,62,93,92,92,98,92,88,95,75,96,95,41,73,25,96
Giannis Antetokounmpo,Free Agent,86,0,0,1,0,0,SF,83,87,75,69,97,77,98,97,50,90,96,75,69,69,95,91,88,85,70,97,95,95,90,86,81,71,90,70,87,89,89,90,88,85,67,70,88,85,62,86,25,92
James Harden,Free Agent,86,0,0,0,1,0,SG,77,83,84,89,98,86,98,98,35,84,98,76,60,84,98,89,89,87,74,98,97,99,92,97,82,96,98,67,70,63,70,70,82,90,73,56,75,65,32,60,25,96
Kobe Bryant,Free Agent,86,0,0,0,1,0,SG,78,85,95,84,95,85,95,85,35,70,78,60,57,90,90,82,80,80,75,95,90,80,78,85,78,65,82,62,77,72,78,80,75,73,80,51,73,65,46,64,90,99
Kyrie Irving,Free Agent,86,0,0,0,0,1,PG,75,85,98,87,94,91,98,96,25,30,89,64,35,70,96,87,95,81,37,97,87,89,93,99,90,74,92,32,73,75,74,75,86,82,63,45,74,70,35,50,50,92
Ben Simmons,Free Agent,84,0,1,0,0,0,PF,82,98,67,50,96,58,95,90,75,85,88,79,74,71,95,93,80,85,80,95,90,86,83,86,79,78,85,73,70,72,71,74,85,85,75,62,82,55,59,78,99,91
Magic Johnson,Frostbite,97,0,0,0,0,1,PG,81,96,92,84,98,90,98,97,65,85,92,94,96,85,98,93,93,70,86,97,97,99,93,94,98,96,98,80,90,94,95,88,98,97,87,74,98,95,86,88,35,98
Anthony Davis,Frostbite,97,1,0,0,0,0,C,82,97,96,89,98,90,98,95,95,90,97,92,93,93,98,86,85,86,87,97,96,80,78,78,60,68,78,95,80,95,95,87,82,97,66,88,96,95,97,97,25,97
Scottie Pippen,Frostbite,95,0,0,1,0,0,SF,80,85,85,84,80,80,90,85,65,85,75,70,62,80,80,83,84,86,70,93,80,87,80,86,78,68,74,81,97,97,99,97,95,92,96,65,97,95,68,74,45,95
Victor Oladipo,Frostbite,95,0,0,0,1,0,SG,76,90,92,90,98,73,95,86,35,85,75,40,41,53,84,93,92,97,66,98,85,84,90,79,75,72,82,48,95,95,90,96,97,84,95,47,92,95,35,68,40,95
Antoine Walker,Frostbite,94,0,1,0,0,0,PF,80,94,92,82,96,74,98,86,75,85,84,87,82,88,97,82,82,85,89,95,95,92,81,78,65,60,69,84,84,78,78,81,76,91,78,65,80,85,84,89,95,94
Kevin Martin,Frostbite,92,0,0,0,1,0,SG,79,90,96,93,98,88,98,95,40,62,92,44,30,63,84,81,80,69,31,93,85,74,80,86,82,35,84,32,82,82,71,84,84,71,82,30,71,80,32,50,70,92
Jason Richardson,Frostbite,89,0,0,0,1,0,SG,78,84,82,84,98,78,95,85,80,93,79,67,60,75,98,84,85,95,54,98,98,59,74,84,75,68,78,64,77,75,77,78,75,74,75,55,74,75,55,69,98,89
D'Angelo Russell,Frostbite,89,0,0,0,1,0,SG,77,85,86,87,80,78,90,89,25,45,50,60,54,65,85,79,79,71,54,88,80,82,79,86,75,70,72,40,72,70,64,73,79,70,78,40,70,65,46,72,95,89
Doug Christie,Frostbite,88,0,0,0,1,0,SG,78,79,92,80,80,85,75,78,47,75,64,33,25,55,75,85,85,70,50,95,80,70,82,79,75,71,82,55,85,87,87,90,88,55,87,52,55,90,40,53,65,88
Glen Rice,Frostbite,85,0,0,1,0,0,SF,79,80,82,86,80,84,90,80,65,70,70,75,69,76,80,74,74,70,75,97,75,92,66,70,64,44,68,69,70,75,94,70,74,90,66,60,90,70,54,60,70,87
Dee Brown,Frostbite,85,0,0,0,0,1,PG,73,84,81,89,74,85,90,85,40,96,37,48,31,71,82,88,88,97,50,95,95,75,88,86,85,78,85,30,75,74,67,85,75,61,80,50,61,75,42,36,85,85
Manute Bol,Frostbite,85,1,0,0,0,0,C,91,92,70,74,98,67,90,47,90,45,90,74,88,66,92,26,25,28,30,95,90,65,25,30,30,32,34,94,37,96,78,27,85,69,62,98,97,95,92,95,95,85
Shaquille O'Neal,Glitched,99,1,0,0,0,0,C,85,99,92,90,95,90,99,97,99,98,99,99,98,89,98,94,94,98,99,98,98,98,85,83,84,78,80,99,85,99,98,88,95,98,85,98,98,98,98,99,25,99
Tracy McGrady,Glitched,99,0,0,0,0,1,PG,80,98,99,98,98,98,98,98,85,99,98,88,85,97,98,98,98,99,89,98,95,80,98,98,95,92,94,90,98,98,81,98,95,80,97,90,80,98,84,84,25,99
